"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-20",499,"G",146,"G",1948,100,43.4885101,-0.7755718,"Vente","Maison Individuelle","54140","54","Square Catherine de Bourbon (Jardin) Orthez",0.71
"Méthode Facture",,"2013-06-07",248,"E",22,"D",1947,68,48.15627,4.0385218,"Vente","Maison Individuelle","55000","55","Chemin Grande Rue Lirey",0.71
"3CL - DPE","V2012","2013-05-08",339.22,"F",16.54,"C",2000,74,47.304335,-3.204653,"Vente","Maison Individuelle","56009","56","Les Lots de Kerel 56360 Bangor",0.41
"FACTURE","VERSION_2012","2013-05-24",0,"A",0,"A",1910,56.5,47.6601392,-2.7211378,"Vente","Maison Individuelle","57123","57","Rue du Général Weygand (Pont) Vannes",0.75
"3CL - DPE","V2012","2013-05-31",122.13,"C",27.15,"D",1997,182.5,47.184361,3.072468,"Vente","Maison Individuelle","58220","58","56 Route de Chazué 58400 Raveau",0.94
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-06",246,"E",57,"F",1948,84.39,49.6800908,4.9340734,"Vente","Maison Individuelle","59491","59","Rue Habert Desrousseaux (Chemin) Wadelincourt",0.75
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",321,"E",19,"C",1948,87,49.601206,2.724785,"Vente","Maison Individuelle","60160","60","28 Rue de Flandres 60490 Conchy-les-Pots",0.42
"3CL - DPE","V2012","2013-05-16",0,"N",0,"N",1975,38.47,48.572757,0.391633,"Vente","Maison Individuelle","61454","61","4 Chemin des Jardins 61170 Sainte-Scolasse-sur-Sarthe",0.94
"TROIS_CL_DPE","VERSION_2012","2013-05-11",160.06,"D",37.45,"E",2006,90,48.8500525,1.8794283,"Vente","Maison Individuelle","62480","62","Résidence de la Petite Mauldre (Zone résidentielle) Beynes",0.74
"3CL","2012","2013-05-28",310.98,"E",16.73,"C",1955,57,,,"Vente","Logement","63000","63",,0
"Méthode Facture",,"2013-05-10",28,"A",6,"B",1,45.8,43.4655993,-1.5021648,"Location","Logement","64600","64","Parc d'activités de Maignon (Zone industrielle) Anglet",0.7
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-17",304,"E",15,"C",1989,56.65,43.375722,0.282071,"Vente","Logement","65170","65","12 Route de Capvern 65220 Estampures",0.5
"3CL - DPE","V2012","2013-05-03",323.75,"E",10.54,"B",1900,189.6,42.522189,3.106171,"Vente","Maison Individuelle","66148","66","16 Rue Danton 66660 Port-Vendres",0.95
"3CL - DPE","V2012","2013-05-17",859.76,"G",26.03,"D",1920,47.76,45.014689,-0.4643902,"Vente","Maison Individuelle","67008","67","Rue des Acacias (Chemin) Saint-Gervais",0.79
"3CL - DPE","V2012","2013-05-18",220.44,"D",37.2,"E",1947,250,47.942472,7.155385,"Vente","Maison Individuelle","68177","68","72 Rue Haute 68610 Lautenbach",0.8
"Méthode Facture",,"2013-05-02",0,"N",0,"N",1947,77.35,,,"Vente","Logement","69100","69",,0
"FACTURE - DPE","V2012","2013-06-12",97.15,"C",26.62,"D",1948,137.97,47.341456,5.823248,"Location","Maison Individuelle","70181","70","Rue de l'Eglise 70150 Courcuire",0.6
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-20",332,"F",61,"F",1948,130,46.372892,4.802557,"Vente","Maison Individuelle","71250","71","Lotissement du Colombier 71870 Laizé",0.37
"FACTURE - DPE","V2012","2013-05-27",74.07,"B",17.33,"C",2006,3770.92,,,"Neuf","Maison Individuelle","72181","72",,0
"3CL - DPE","V2012","2013-05-22",124.34,"C",17.75,"C",1750,148,45.541349,6.105172,"Vente","Maison Individuelle","73096","73","35 Che des Gravines 73800 Cruet",0.66
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-06",210,"D",63,"F",1978,210,49.9772698,3.7694552,"Vente","Maison Individuelle","74210","74","Chemin de Bellevue Esquéhéries",0.77
"Méthode Facture",,"2013-05-05",772,"G",25,"D",1947,22,48.9220736,2.367598,"Vente","Logement","75014","75","Rue Francis de Pressensé (Pont) Aubervilliers",0.83
"3CL - DPE","V2012","2013-05-14",426.61,"F",77.67,"F",1974,122.7,49.506021,1.010608,"Location","Maison Individuelle","76594","76","4 Route du Bois Ricard 76150 Saint-Jean-du-Cardonnay",0.81
"3CL - DPE","V2012","2013-05-11",311.22,"E",6.59,"B",1900,139,48.8994153,6.2957919,"Vente","Maison Individuelle","77021","77","Rue Saint-Martin (Pont) Thézey-Saint-Martin",0.8
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-04",171,"D",40,"E",1978,127.52,48.9031041,2.2059647,"Vente","Maison Individuelle","78360","78","Rue Anatole France (Pont) Nanterre",0.81
"Méthode Facture",,"2013-05-06",0,"N",0,"N",1947,110,46.219752,-0.638698,"Vente","Maison Individuelle","79220","79","Route de Mauze 79210 Prin-Deyrançon",0.43
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",409,"F",21,"D",1989,31.41,50.002677,2.393368,"Vente","Maison Individuelle","80550","80","Rue de la Chaussée 80260 Mirvaux",0.4
"Méthode Facture",,"2013-05-28",0,"N",0,"N",1947,153,,,"Vente","Maison Individuelle","81190","81",,0
"Th-C-E","RT2005","2013-06-05",49.08,"A",1.18,"A",2013,83.89,43.893457,1.324169,"Neuf","Maison Individuelle","82027","82","15 Rue des Eglantiers 82370 Campsas",0.7
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-29",67,"B",1,"A",2009,166,,,"Vente","Maison Individuelle","83120","83",,0
"3CL - DPE","V2012","2013-05-14",322.25,"E",38.14,"E",1920,67.5,43.937239,4.814755,"Vente","Maison Individuelle","84007","84","69 Avenue de l'Arrousaire 84000 Avignon",0.96
"TROIS_CL_DPE","VERSION_2012","2013-05-14",268.68,"E",13.09,"C",2009,60.21,,,"Vente","Maison Individuelle","85023","85",,0
"3CL - DPE","V2012","2013-05-16",0,"N",0,"N",1750,196.68,46.538745,0.639609,"Vente","Maison Individuelle","86070","86","36 Rue du Moulin Milon 86300 Chauvigny",0.95
"Méthode Facture",,"2013-05-15",0,"N",0,"N",1947,104,50.4407862,2.2115051,"Vente","Maison Individuelle","87700","87","(Pont) Érin",0.88
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-23",427,"F",5,"A",1948,150.24,,,"Vente","Maison Individuelle","88360","88",,0
"FACTURE - DPE","V2012","2013-05-30",146.69,"C",34.33,"D",1948,166,47.929746,3.353207,"Vente","Maison Individuelle","89078","89","1 Rue Montégros 89110 Montholon",0.94
"3CL - DPE","V2012","2013-05-28",502.48,"G",117.58,"G",1930,120,47.640862,6.84126,"Vente","Maison Individuelle","90010","90","2 Place Jean-baptiste Saget 90000 Belfort",0.93
"3CL - DPE","V2012","2013-05-07",188.56,"D",44.12,"E",1949,150,48.461371,2.349203,"Vente","Maison Individuelle","91293","91","37 Rue de Clercy 91590 Guigneville-sur-Essonne",0.89
"Méthode Facture",,"2013-05-08",275,"E",64,"F",1947,95,48.7411821,2.2853703,"Vente","Logement","92160","92","Groupe Scolaire Adolphe Pajeaud (École) Antony",0.77
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",275,"E",9,"B",1983,140,,,"Vente","Maison Individuelle","93190","93",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-22",372,"F",21,"D",1948,10.96,48.7831097,2.3938279,"Vente","Maison Individuelle","94600","94","Constant Coquelin (Arrêt de bus) Vitry-sur-Seine",0.71
"Méthode Facture",,"2013-05-07",407,"F",13,"C",1947,75,49.0076213,1.9617458,"Vente","Logement","95160","95","Rue de Pontoise Vaux-sur-Seine",0.82
"3CL - DPE","V2012","2013-05-13",387.98,"F",19.93,"C",1992,100,,,"Vente","Maison Individuelle","1419","01",,0
"3CL - DPE","V2012","2013-05-22",435.61,"F",14.18,"C",1920,63.42,,,"Vente","Maison Individuelle","02023","02",,0
"Méthode Facture",,"2013-05-23",402,"F",9,"B",1947,81.51,46.4303003,4.9387407,"Vente","Maison Individuelle","03500","03","Rue de la Cure (Chemin piéton) Pont-de-Vaux",0.71
"3CL - DPE","V2012","2013-06-11",290,"E",9,"B",1974,138,43.812266,6.599186,"Vente","Maison Individuelle","04148","04","50 La Grande Montee 04120 Peyroules",0.59
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-03",302,"E",16,"C",2001,27.97,50.3670255,2.5394026,"Vente","Logement","05250","05","Résidence des bleuets (Zone résidentielle) Villers-Brûlin",0.72
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-02",187,"D",7,"B",1983,62.68,,,"Location","Logement","06400","06",,0
"FACTURE - DPE","V2012","2013-05-21",178.46,"D",53.54,"E",1948,179,45.239408,4.797954,"Vente","Maison Individuelle","07009","07","70 Route du Saint Joseph 07340 Andance",0.94
"Méthode Facture",,"2013-06-04",0,"N",0,"N",1947,48.5,49.535485,4.448099,"Vente","Maison Individuelle","08330","08","20 Rue du Chemin Vert 08300 Novy-Chevrières",0.54
"3CL - DPE","V2012","2013-06-06",0,"N",0,"N",1974,75.8,43.099522,1.387586,"Location","Maison Individuelle","09253","09","12 Rue Miegevielle 09350 Sabarat",0.93
"FACTURE - DPE","V2012","2013-06-03",59.56,"B",13.94,"C",2006,1018.86,48.277214,4.102253,"Neuf","Maison Individuelle","10343","10","11 bis Rue des Vannes 10800 Saint-Julien-les-Villas",0.86
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-14",147,"C",8,"B",1948,132,43.064714,2.32407,"Location","Maison Individuelle","11420","11","Place de l'Eglise 11250 Villebazy",0.54
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-17",134,"C",40,"E",2001,154,46.8139412,4.942313,"Vente","Maison Individuelle","12800","12","Lotissement Le Clos des Peupliers (Chemin piéton) Allériot",0.88
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-05",149,"C",23,"D",1948,68.26,43.452158,5.411807,"Vente","Logement","13015","13","Traverse du Pont 13320 Bouc-Bel-Air",0.37
"3CL - DPE","V2012","2013-05-13",429,"F",22,"D",1991,27.38,49.298753,-0.065462,"Vente","Logement","14338","14","Résidence Duc de Normandie 14510 Houlgate",0.55
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-20",277,"E",64,"F",1989,162,45.222618,2.332014,"Vente","Maison Individuelle","15120","15","Rue Jean Moulin 15200 Mauriac",0.34
"Méthode Facture",,"2013-05-06",275,"E",26,"D",1947,90,45.917654,0.638395,"Location","Maison Individuelle","16100","16","9 Rue de l'Age 16150 Chirac",0.58
"TROIS_CL_DPE","VERSION_2012","2013-05-13",145.4,"C",6.1,"B",2007,105,,,"Vente","Maison Individuelle","17023","17",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-21",205,"D",11,"C",1978,120,47.8229804,1.9331217,"Vente","Maison Individuelle","18330","18","Parc de l'Allée des Sapins Orléans",0.81
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-10",280,"E",84,"G",1983,81.98,,,"Vente","Maison Individuelle","19300","19",,0
"FACTURE - DPE","V2012","2013-05-03",0,"N",0,"N",1948,108,47.164488,4.981982,"Location","Maison Individuelle","21267","21","13 b Rue Basse 21640 Flagey-Echézeaux",0.81
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",184,"D",43,"E",1983,72.9,49.8915839,2.3084952,"Location","Maison Individuelle","22400","22","Gare Routière (accès Rue de la Vallée) (Chemin piéton) Amiens",0.76
"3CL - DPE","V2012","2013-06-25",635.63,"G",190.69,"G",1969,62.28,45.87937,2.177746,"Vente","Maison Individuelle","23079","23","24 Rue de Chanteloube 23500 Felletin",0.93
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-21",165,"D",42,"E",1978,186,,,"Vente","Maison Individuelle","24140","24",,0
"3CL - DPE","V2012","2013-05-26",111.34,"C",12.92,"C",1974,70.76,47.501311,6.799169,"Vente","Logement","25388","25","10 Rue Saint Saens 25200 Montbéliard",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-18",186,"D",11,"C",1973,179,45.0851504,5.04785,"Vente","Maison Individuelle","26380","26","Les Escoffers (Arrêt de bus) Peyrins",0.89
"FACTURE","VERSION_2012","2013-05-17",139.14,"C",32.56,"D",1974,55,49.099635,1.490186,"Location","Logement","27681","27","Residence des Penitents 27200 Vernon",0.45
"3CL - DPE","V2012","2013-05-15",268.44,"E",62.82,"F",1974,85.24,48.74502,1.352946,"Location","Maison Individuelle","28134","28","28 Rue Theodore Botrel 28100 Dreux",0.95
"TROIS_CL_DPE","VERSION_2012","2013-05-15",187.79,"D",8.22,"B",1988,177.8,50.6292613,3.1487027,"Vente","Maison Individuelle","29002","29","École Saint-Adrien Villeneuve-d'Ascq",0.9
"3CL - DPE","V2012","2013-05-30",270.2,"E",16.48,"C",1982,197,,,"Vente","Maison Individuelle","2A130","2A",,0
"FACTURE - DPE","V2012","2013-07-18",137.01,"N",4.46,"N",1948,19,42.692968,9.451731,"Location","Logement","20033","2B","7 Rue du Dragon 20200 Bastia",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-16",207,"D",9,"B",2006,50.25,47.228908,-1.635611,"Vente","Logement","30700","30","Le Mas des Oliviers (Restaurant) Saint-Herblain",0.9
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-27",449,"F",27,"D",1975,96,42.9639438,-0.7451962,"Location","Logement","31130","31","Accès Boulevard des Pyrénées (Chemin) Arette",0.83
"3CL - DPE","V2012","2013-06-07",167.28,"D",7.42,"B",1975,124,43.438885,0.992093,"Vente","Maison Individuelle","32387","32","Impasse Larroque 32220 Saint-Loube",0.6
"3CL - DPE","V2012","2013-04-29",241.61,"E",7.87,"B",1947,68.21,45.3042,-0.925991,"Location","Maison Individuelle","33240","33","19 Cours Saint-trélody 33340 Lesparre-Médoc",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-06",195,"D",45,"E",1948,92,46.149346,-1.0817572,"Vente","Maison Individuelle","34000","34","Rue des Courlis (Chemin) Périgny",0.79
"TROIS_CL_DPE","VERSION_2012","2013-05-06",319.11,"E",17.96,"C",1970,102,43.7824848,-1.2094709,"Vente","Maison Individuelle","35021","35","Avenue de la Forêt (Pont) Magescq",0.81
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-30",257,"E",28,"D",1978,230,46.730352,1.964256,"Location","Maison Individuelle","36180","36","Place de l'Eglise 36120 Saint-Août",0.37
"FACTURE","VERSION_2012","2013-05-22",118.04,"C",27.62,"D",1930,45,47.384592,0.69292,"Location","Logement","37261","37","101 Rue Michelet 37000 Tours",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",119,"C",27,"D",1989,77.4,45.2463465,5.6688116,"Vente","Logement","38120","38","Rue des Jardins de la Marquetière (Chemin piéton) Fontanil-Cornillon",0.81
"Méthode Facture",,"2013-05-27",0,"N",0,"N",1947,45.04,,,"Vente","Logement","39000","39",,0
"3CL - DPE","V2012","2013-05-16",173.61,"D",21.42,"D",1930,230,43.709796,-1.056948,"Vente","Maison Individuelle","40088","40","22 Rue Chanzy 40100 Dax",0.81
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-14",338,"F",15,"C",1989,19,,,"Vente","Logement","41000","41",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-17",299,"E",14,"C",1998,43.6,45.486092,4.545729,"Vente","Logement","42110","42","2 Rue Leon Nicaise 42152 L'Horme",0.3
"3CL - DPE","V2012","2013-05-27",0,"N",0,"N",1974,73,45.210744,4.143796,"Location","Maison Individuelle","43211","43","Rue de la Marquise 43200 Saint-Maurice-de-Lignon",0.71
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-07",396,"F",92,"G",1948,51.87,48.4337939,0.7752446,"Vente","Logement","44600","44","Rue Albert de Mun (Chemin) Rémalard-en-Perche",0.76
"TROIS_CL_DPE","VERSION_2012","2013-05-14",648.12,"G",131.74,"G",1970,67,48.8183516,2.3197552,"Vente","Maison Individuelle","45016","45","Sortie 1 : Avenue de la République |Mairie| (Escalier) Montrouge",0.83
"3CL - DPE","V2012","2013-06-18",359,"F",84,"G",1974,135.5,44.880264,1.56452,"Vente","Maison Individuelle","46293","46","Le Bourg 46200 Saint-Sozy",0.61
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-15",185,"D",43,"E",1983,88,44.6534,0.809812,"Vente","Maison Individuelle","47200","47","Moulin de Mandassagne 47210 Parranquet",0.34
"3CL","2012","2013-06-26",112.67,"C",4.44,"A",2011,125,,,"Vente","Maison Individuelle","48230","48",,0
"FACTURE","VERSION_2012","2013-05-17",184.52,"D",55.35,"E",1900,118,48.4492402,1.4921952,"Location","Logement","49007","49","Boulevard du Maréchal Foch (Piste cyclable) Chartres",0.7
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-03",407,"F",24,"D",1948,41,49.582636,-1.644413,"Vente","Maison Individuelle","50230","50","Rue des Jannieres 50690 Hardinvast",0.45
"FACTURE - DPE","V2012","2013-05-15",0,"N",0,"N",1948,37,49.25462,4.041633,"Vente","Logement","51454","51","Rue César Poulain 51100 Reims",0.38
"3CL - DPE","V2012","2013-05-30",104.54,"C",23.44,"D",1626,390,48.590503,4.867996,"Vente","Maison Individuelle","52182","52","24 Rue de la République 52290 Éclaron-Braucourt-Sainte-Livière",0.94
"Méthode Facture",,"2013-05-17",83,"B",24,"D",1947,240,47.871595,-0.521663,"Vente","Maison Individuelle","53110","53","Route de la Touche 53290 Grez-en-Bouère",0.41
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-20",551,"G",31,"D",1989,29,48.870538,2.3685763,"Vente","Logement","54000","54","Parking Zenpark Rue Bichat Paris",0.89
"Méthode Facture",,"2013-06-07",233,"E",54,"E",1947,142,49.060732,5.191177,"Vente","Maison Individuelle","55260","55","Voie Communale Derriere le Moulin 55120 Julvécourt",0.32
"3CL - DPE","V2012","2013-05-08",230,"D",11,"C",2003,125,47.0012685,2.7480487,"Location","Maison Individuelle","56121","56","Rue du Couvent (Pont) Bengy-sur-Craon",0.79
"Méthode Facture",,"2013-05-22",71,"B",16,"C",1947,45.58,,,"Location","Logement","57000","57",,0
"3CL - DPE","V2012","2013-05-31",168,"D",39,"E",2006,75,46.996851,3.092837,"Vente","Maison Individuelle","58160","58","22 Rue de la Chaume des Drus 58180 Marzy",0.94
"Méthode Facture",,"2013-05-06",161,"D",37,"E",1947,73.45,,,"Vente","Maison Individuelle","59500","59",,0
"FACTURE","VERSION_2012","2013-05-14",253.84,"E",76.15,"F",1920,117.83,49.7307388,1.4369891,"Location","Logement","60017","60","Grande Rue Saint-Pierre (Pont) Neufchâtel-en-Bray",0.8
"FACTURE - DPE","V2012","2013-05-14",108.26,"C",29.66,"D",1948,99,48.747376,-0.026765,"Vente","Maison Individuelle","61006","61","Relais de la Malle Poste 61200 Argentan",0.43
"3CL - DPE","V2012","2013-05-11",360.06,"F",84.25,"G",1975,85.9,50.4748669,2.5122931,"Vente","Maison Individuelle","62029","62","Rue Arthur Lamendin (Pont) Divion",0.74
"3CL","2012","2013-05-28",316.9,"E",15.27,"C",1990,36.1,43.6062198,1.4008904,"Copropriété","Logement","63000","63","Avenue de Grande Bretagne (Piste cyclable) Toulouse",0.71
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",146,"C",34,"D",1948,166.82,43.3451255,-0.4537538,"Vente","Logement","64230","64","Avenue Denis Touzanne (Pont) Lescar",0.79
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-18",329,"E",18,"C",1978,90,,,"Vente","Maison Individuelle","65690","65",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-04",381,"F",21,"D",1948,48.84,50.780563,2.4724968,"Location","Logement","66610","66","Rue Neuve (Pont) Oxelaëre",0.89
"3CL - DPE","V2012","2013-05-06",125.45,"C",29.36,"D",2005,68.6,47.907168,3.9052806,"Vente","Logement","67010","67","Chemin de la Rue des Vignes Roffey",0.79
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-16",180,"D",42,"E",2006,85,44.8886885,-0.7047166,"Vente","Maison Individuelle","68700","68","Avenue Montaigne (Pont) Saint-Médard-en-Jalles",0.76
"3CL - DPE","V2012","2013-05-03",479,"G",92,"G",1958,66,45.8703059,4.5016398,"Vente","Maison Individuelle","69191","69","Route de Saint-Romain (Pont) Pontcharra-sur-Turdine",0.81
"FACTURE - DPE","V2012","2013-06-12",104.11,"C",28.52,"D",1948,57,47.341456,5.823248,"Location","Maison Individuelle","70181","70","Rue de l'Eglise 70150 Courcuire",0.6
"Méthode Facture",,"2013-05-20",0,"N",0,"N",1947,54,46.202297,4.120718,"Vente","Maison Individuelle","71200","71","Rue de la Marjolaine 71340 Fleury-la-Montagne",0.35
"FACTURE - DPE","V2012","2013-05-27",74.07,"B",17.33,"C",2006,3770.92,,,"Neuf","Maison Individuelle","72181","72",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-26",555,"G",22,"D",1978,52,,,"Vente","Maison Individuelle","73300","73",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-10",628,"G",36,"E",1948,20.65,45.957477,6.386931,"Vente","Logement","74110","74","Rte de la Resistance 74130 Glières-Val-de-Borne",0.34
"Méthode Facture",,"2013-05-05",151,"D",35,"D",1947,47,48.865591,2.28162,"Location","Logement","75116","75","10 Rue Herran 75016 Paris",0.96
"TROIS_CL_DPE","VERSION_2012","2013-05-14",200.55,"D",8.11,"B",1948,55.11,49.9064498,0.9944137,"Vente","Logement","76540","76","École primaire Jean Lecanuet Varengeville-sur-Mer",0.75
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-11",202,"D",10,"B",2006,57.38,48.8031532,1.9038052,"Vente","Logement","77700","77","Rue de la Brèche du Houx (Chemin piéton) Jouars-Pontchartrain",0.76
"FACTURE - DPE","V2012","2013-05-04",281.26,"E",65.81,"F",1974,33,46.7978629,4.4341974,"Vente","Logement","78481","78","Rue du Président Wilson (Pont) Le Creusot",0.8
"FACTURE","VERSION_2012","2013-05-06",136.59,"C",3.96,"A",1900,205,48.8082399,2.8374677,"Vente","Maison Individuelle","79128","79","Chemin Vert Villeneuve-le-Comte",0.82
"Méthode 3CL","3CL-DPE, version 1.3","2013-04-30",454,"G",25,"D",2001,62.72,,,"Vente","Logement","80550","80",,0
"FACTURE - DPE","V2012","2013-05-28",175.68,"D",7.59,"B",2006,80.77,43.911085,1.983515,"Neuf","Maison Individuelle","81225","81","9 Allee du Golf 81600 Rivières",0.33
"Th-C-E","RT2005","2013-06-05",54.69,"B",1.25,"A",2013,83.02,43.894698,1.322819,"Neuf","Maison Individuelle","82027","82","1 Rue des Chênes 82370 Campsas",0.65
"3CL - DPE","V2012","2013-04-26",204.18,"D",8.83,"B",1982,49.56,48.3743988,2.9581535,"Location","Logement","83118","83","Route de Cannes (Arrêt de bus) Varennes-sur-Seine",0.7
"3CL - DPE","V2012","2013-05-14",312.46,"E",10.17,"B",1930,65,43.939677,4.80978,"Copropriété","Logement","84007","84","24 Avenue Saint-ruf 84000 Avignon",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-14",494,"G",31,"D",1948,74,46.4951676,-1.7854452,"Vente","Maison Individuelle","85640","85","Place du Commandant Guilbaud (Parking) Les Sables-d'Olonne",0.72
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-17",381,"F",19,"C",1948,34.74,46.533314,0.277138,"Location","Logement","86100","86","Rue du Bois de la Fontaine 86240 Fontaine-le-Comte",0.34
"3CL - DPE","V2012","2013-05-16",198.08,"D",46.35,"E",1937,102.5,45.890626,0.910235,"Vente","Maison Individuelle","87154","87","19 Avenue Rosa Luxemburg 87200 Saint-Junien",0.95
"3CL - DPE","V2012","2013-05-22",0,"N",0,"N",1920,120,48.174108,6.441542,"Vente","Maison Individuelle","88160","88","114 Chemin de la Clé d'Or 88000 Épinal",0.95
"FACTURE - DPE","V2012","2013-06-03",108.62,"C",2.4,"A",1948,86.61,48.220205,3.21815,"Vente","Maison Individuelle","89274","89","8 Chemin de Bois le Roi 89100 Nailly",0.94
"3CL - DPE","V2012","2013-05-29",480,"G",29,"D",1974,78,47.620642,6.865688,"Vente","Maison Individuelle","90032","90","22 Rue du Bosmont 90400 Danjoutin",0.94
"3CL - DPE","V2012","2013-05-07",255.58,"E",11.83,"C",1949,57.9,48.8994153,6.2957919,"Vente","Logement","91223","91","Rue Saint-Martin (Pont) Thézey-Saint-Martin",0.73
"3CL - DPE","V2012","2013-05-08",161.31,"D",5.66,"A",2008,52,48.7655292,2.2675096,"Location","Logement","92019","92","Stade Jean Longuet Châtenay-Malabry",0.75
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-13",275,"E",9,"B",1983,140,,,"Vente","Maison Individuelle","93190","93",,0
"Méthode Facture",,"2013-05-15",325,"E",10,"B",1947,70,45.7756884,0.1256803,"Vente","Maison Individuelle","94500","94","MONTIGNAC-CHARENTE - Avenue Marguerite de Valois (Arrêt de bus) Montignac-Charente",0.76
"Méthode Facture",,"2013-05-06",249,"E",58,"F",1947,50.55,48.3022071,4.1026819,"Vente","Logement","95400","95","Avenue Henri Barbusse (Pont) Saint-Parres-aux-Tertres",0.9
"3CL - DPE","V2012","2013-05-13",269.17,"E",62.98,"F",2004,44,46.2581334,6.1134556,"Location","Logement","1160","01","Chemin de Collex (Chemin piéton) Ferney-Voltaire",0.76
"3CL - DPE","V2012","2013-05-23",284.57,"E",66.59,"F",1970,76.62,49.402898,3.294508,"Vente","Maison Individuelle","02593","02","1 Rue de la Rochette 02200 Pasly",0.94
"Méthode Facture",,"2013-05-23",128,"C",30,"D",1947,86.36,,,"Vente","Logement","03200","03",,0
"3CL - DPE","V2012","2013-06-11",398,"F",17,"C",1988,23.8,43.2770294,5.4327054,"Vente","Logement","04205","04","Résidence Chante Perdrix (Zone résidentielle) Marseille",0.8
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-05",600,"G",180,"G",1948,101,,,"Vente","Maison Individuelle","05100","05",,0
"Méthode Facture",,"2013-04-30",157,"D",36,"E",1,72.3,,,"Location","Logement","06800","06",,0
"FACTURE - DPE","V2012","2013-05-21",184.15,"D",43.33,"E",1948,250,45.296216,4.759885,"Vente","Maison Individuelle","07172","07","2205 Route de la Fromentale 07340 Peaugres",0.94
"3CL - DPE","V2012","2013-06-04",196,"D",45,"E",1974,85.28,49.778574,4.400045,"Vente","Maison Individuelle","08257","08","5 Rue Saint Remi 08150 Logny-Bogny",0.67
"Méthode Facture",,"2013-06-06",0,"N",0,"N",1947,57,42.715548,2.079929,"Vente","Maison Individuelle","09230","09","Le Village 09460 Le Pla",0.58
"FACTURE - DPE","V2012","2013-06-03",57.94,"B",13.56,"C",2006,935.44,48.32905,4.120934,"Neuf","Maison Individuelle","10115","10","1 Rue de la République 10150 Creney-près-Troyes",0.77
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-14",122,"C",36,"E",1948,171,42.944678,2.24564,"Vente","Maison Individuelle","11240","11","Rue de l'Eglise 11190 Montazels",0.94
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-17",299,"E",16,"C",1948,68.18,44.288005,2.004039,"Location","Maison Individuelle","12150","12","Chemin des Canabals 12200 Monteils",0.33
"Méthode Facture",,"2013-05-02",140,"C",4,"A",1947,38.62,43.898379,4.746264,"Vente","Logement","13010","13","Rue de la Caradone 13570 Barbentane",0.4
"Méthode Facture",,"2013-05-07",122,"C",28,"D",1947,70,47.5341499,5.5327413,"Vente","Maison Individuelle","14200","14","Rue du Four (Pont) Vars",0.9
